Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
3/6/2018,122.87,124.69,122.75,124.48,+1.98_,1.60%,"8,154,828",123.92,23.5,0.50%,"32,391",59.20%,40.80%
3/5/2018,120,122.94,119.66,122.5,+0.58_,0.50%,"10,121,251",121.55,23.4,-3.20%,"56,835",63.40%,36.60%
3/2/2018,118.65,122.33,117.64,121.92,+2.49_,2.10%,"10,627,548",120.33,24.1,-7.10%,"55,434",70.20%,29.80%
3/1/2018,120.91,122.47,118.05,119.43,+3.18_,2.70%,"15,555,500",120.14,26,-14.30%,"93,308",66.10%,33.90%
2/28/2018,117,118.15,116.22,116.25,-0.22_,-0.20%,"9,684,436",117.14,30.3,3.70%,"76,562",55.90%,44.10%
2/27/2018,117.3,117.61,115.76,116.47,-0.18_,-0.20%,"5,908,216",116.67,29.2,5.90%,"28,571",60.50%,39.50%
2/26/2018,116.11,116.8,115.36,116.65,+1.69_,1.50%,"5,418,949",116.22,27.6,-2.00%,"35,043",65.20%,34.80%
2/23/2018,113.63,114.96,112.74,114.96,+1.96_,1.70%,"4,173,529",113.83,28.2,-6.20%,"11,792",61.90%,38.10%
2/22/2018,114.52,115,112.48,113,-1.48_,-1.30%,"4,763,427",113.56,30,5.20%,"15,765",55.60%,44.40%
2/21/2018,114.77,115.67,114.17,114.48,+0.13_,0.10%,"4,976,536",114.89,28.6,0.00%,"12,010",75.80%,24.20%
2/20/2018,112.45,115.26,112.28,114.35,+1.49_,1.30%,"4,287,773",114.26,28.6,-1.90%,"15,211",61.40%,38.60%
2/16/2018,112.84,114.15,112.67,112.86,-0.26_,-0.20%,"4,667,328",113.32,29.1,-3.20%,"18,991",60.10%,39.90%
2/15/2018,112.31,113.43,110.05,113.12,+4.10_,3.80%,"8,341,909",112.34,30.1,1.80%,"27,652",73.10%,26.90%
2/14/2018,106.73,109.22,106.73,109.02,+1.33_,1.20%,"7,427,952",108.22,29.6,-9.70%,"17,121",58.00%,42.00%
2/13/2018,108.01,108.08,105.93,107.69,-0.86_,-0.80%,"7,542,752",107.08,32.7,-3.90%,"13,830",60.60%,39.40%
2/12/2018,107.7,109.48,106.26,108.55,+1.57_,1.50%,"4,624,113",108.13,34.1,-18.30%,"7,299",60.60%,39.40%
2/9/2018,105.32,108.11,102.37,106.98,+2.95_,2.80%,"6,615,838",105.39,41.7,2.70%,"17,550",58.30%,41.70%
2/8/2018,110.1,110.18,104,104.03,-6.02_,-5.50%,"6,803,753",106.44,40.6,22.60%,"24,780",46.70%,53.30%
2/7/2018,109.07,112.29,108.81,110.05,+0.48_,0.40%,"4,515,370",110.94,33.1,4.90%,"10,070",56.80%,43.20%
2/6/2018,105.01,109.62,103.69,109.57,+1.92_,1.80%,"6,857,941",107.73,31.5,-11.90%,"27,860",67.90%,32.10%
2/5/2018,109.15,111.61,107.5,107.65,-3.13_,-2.80%,"6,123,968",109.84,35.8,17.60%,"11,748",54.70%,45.30%
2/2/2018,112.03,112.35,110.71,110.78,-1.96_,-1.70%,"4,403,837",111.41,30.4,8.50%,"14,013",51.30%,48.70%
2/1/2018,113.3,114.27,112.53,112.74,-1.17_,-1.00%,"4,302,769",113.33,28,-0.30%,"19,216",86.10%,13.90%
1/31/2018,113.06,114.52,112.64,113.91,+1.68_,1.50%,"4,181,752",113.98,28.1,1.30%,"8,602",56.70%,43.30%
1/30/2018,112.42,113.45,111.84,112.23,-1.07_,-0.90%,"3,737,729",112.62,27.8,5.60%,"10,491",41.60%,58.40%
1/29/2018,113.7,114.41,112.85,113.3,-0.40_,-0.40%,"3,181,484",113.62,26.3,12.30%,"11,373",36.10%,63.90%
1/26/2018,112.72,113.92,112.03,113.7,+1.74_,1.60%,"3,927,448",113.41,23.4,8.80%,"20,787",67.10%,32.90%
1/25/2018,113.28,113.47,111.9,111.96,-0.89_,-0.80%,"4,715,109",112.66,21.5,8.30%,"16,083",55.80%,44.20%
1/24/2018,113.63,113.84,112.5,112.85,-0.39_,-0.30%,"4,975,487",113.11,19.9,-1.50%,"22,151",58.50%,41.50%
1/23/2018,113.18,113.76,112.68,113.24,+0.35_,0.30%,"2,816,839",113.27,20.2,7.80%,"12,642",65.10%,34.90%
1/22/2018,111.63,112.96,111.01,112.89,+0.96_,0.90%,"2,214,707",112.35,18.7,0.20%,"15,684",77.30%,22.70%
1/19/2018,112.21,112.4,111.61,111.93,+0.16_,0.10%,"3,120,889",112,18.7,-5.00%,"20,861",66.10%,33.90%
1/18/2018,110.23,112.17,110.21,111.77,+1.73_,1.60%,"3,842,823",111.49,19.7,1.90%,"27,591",72.40%,27.60%
1/17/2018,109.75,110.38,109.23,110.04,+1.15_,1.10%,"4,254,674",109.83,19.3,0.00%,"10,717",77.50%,22.50%
1/16/2018,110.85,111.44,108.23,108.89,-1.35_,-1.20%,"5,790,819",109.9,19.3,-0.30%,"21,220",75.70%,24.30%
1/12/2018,109.23,110.71,108.91,110.24,+1.14_,1.00%,"5,749,471",110.06,19.4,4.70%,"22,203",79.60%,20.40%
1/11/2018,109,109.4,108.67,109.1,+0.30_,0.30%,"3,668,120",109.07,18.5,-2.90%,"9,863",80.00%,20.00%
1/10/2018,108.68,109.49,108.22,108.8,-0.35_,-0.30%,"3,113,335",108.68,19,0.20%,"12,828",72.00%,28.00%
1/9/2018,109,109.34,108.25,109.15,+0.29_,0.30%,"3,302,271",108.79,19,4.80%,"27,464",73.40%,26.60%
1/8/2018,108,109.14,107.57,108.86,+0.76_,0.70%,"2,933,620",108.65,18.1,-0.10%,"21,562",81.50%,18.50%
1/5/2018,107.76,108.29,107.2,108.1,+1.42_,1.30%,"3,368,399",107.92,18.2,-6.00%,"19,582",73.30%,26.70%
1/4/2018,106,107.66,105.76,106.68,+1.39_,1.30%,"4,540,214",106.7,19.3,-1.70%,"21,018",69.70%,30.30%
1/3/2018,104.9,106.14,104.62,105.29,+0.88_,0.80%,"3,888,668",105.38,19.6,8.30%,"16,462",70.10%,29.90%
1/2/2018,102.88,104.7,102.27,104.41,+2.18_,2.10%,"4,669,201",104.1,18.1,5.50%,"14,723",76.50%,23.50%
12/29/2017,102.61,103.17,102.21,102.23,-0.56_,-0.50%,"2,498,756",102.6,17.2,3.00%,"6,040",62.50%,37.50%
12/28/2017,102.64,102.9,102.36,102.79,+0.14_,0.10%,"2,719,364",102.67,16.7,-3.60%,"4,837",50.50%,49.50%
12/27/2017,102.59,102.81,102.09,102.65,+0.11_,0.10%,"2,038,573",102.46,17.3,-7.40%,"9,548",59.20%,40.80%
12/26/2017,102.16,102.6,101.32,102.54,-0.09_,-0.10%,"2,524,570",102.18,18.7,2.10%,"8,006",70.30%,29.70%
12/22/2017,103.29,103.5,102.02,102.63,-0.99_,-1.00%,"3,538,325",102.58,18.3,0.00%,"11,888",54.80%,45.20%
12/21/2017,103.73,104.04,103.33,103.62,+0.23_,0.20%,"2,486,792",103.65,18.3,-4.80%,"9,440",56.90%,43.10%
12/20/2017,104.26,104.5,102.81,103.39,-0.87_,-0.80%,"3,673,487",103.34,19.2,3.30%,"8,298",70.00%,30.00%
12/19/2017,104.59,105.17,103.47,104.26,-0.82_,-0.80%,"3,942,078",104.21,18.6,0.90%,"17,301",77.70%,22.30%
12/18/2017,105.4,105.88,104.79,105.08,-0.40_,-0.40%,"3,931,373",105.19,18.5,4.10%,"11,413",62.60%,37.40%
12/15/2017,104.76,105.65,103.31,105.48,+1.24_,1.20%,"7,261,143",105.19,17.7,-9.60%,"19,512",76.00%,24.00%
12/14/2017,104.2,105.2,103.94,104.24,+0.30_,0.30%,"4,464,919",104.56,19.6,2.80%,"13,149",80.70%,19.30%
