Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
10/12/2018,145.77,148.75,143.22,146.74,+7.50_,5.40%,"9,371,711",145.99,32.2,-11.10%,"49,907",47.00%,53.00%
10/11/2018,137.44,142.16,136.45,139.24,+1.43_,1.00%,"10,499,303",139.87,36.2,5.20%,"42,487",54.20%,45.80%
10/10/2018,147.52,147.59,137.54,137.81,-10.69_,-7.20%,"13,660,587",140.98,34.4,22.90%,"74,549",48.40%,51.60%
10/9/2018,148.32,150.87,147.21,148.5,-0.15_,-0.10%,"5,593,337",148.74,28,-2.20%,"24,447",61.20%,38.80%
10/8/2018,154.24,154.62,145.6,148.65,-6.42_,-4.10%,"10,238,725",149.18,28.6,9.20%,"63,737",53.60%,46.40%
10/5/2018,154.86,156.6,152.47,155.07,+0.17_,0.10%,"4,963,564",154.69,26.2,0.80%,"31,369",39.70%,60.30%
10/4/2018,158.2,158.84,153.78,154.9,-4.20_,-2.60%,"6,206,372",155.38,26,20.70%,"31,947",42.00%,58.00%
10/3/2018,158.56,159.76,157.02,159.1,+1.84_,1.20%,"3,561,623",159.08,21.5,-5.50%,"13,569",73.30%,26.70%
10/2/2018,159.27,159.58,156.7,157.26,-2.60_,-1.60%,"4,137,003",158.19,22.8,5.60%,"17,338",59.30%,40.70%
10/1/2018,160.11,161.19,159.02,159.86,+0.83_,0.50%,"4,297,554",159.7,21.6,0.30%,"15,118",60.40%,39.60%
9/28/2018,160,160.86,158.94,159.03,-1.40_,-0.90%,"4,607,671",159.62,21.5,-2.30%,"27,061",62.40%,37.60%
9/27/2018,159.05,161.08,158.93,160.43,+2.10_,1.30%,"3,930,274",160.4,22,0.30%,"36,652",73.80%,26.20%
9/26/2018,159.06,159.93,157.35,158.33,-0.54_,-0.30%,"4,079,727",158.77,22,-1.90%,"20,071",69.50%,30.50%
9/25/2018,159,159.14,157.17,158.87,+0.09_,0.10%,"5,699,599",158.52,22.4,-3.00%,"35,289",66.20%,33.80%
9/24/2018,155.38,158.91,153.33,158.78,+3.26_,2.10%,"5,082,094",157.76,23.1,0.90%,"38,007",75.00%,25.00%
9/21/2018,157.07,157.96,154.96,155.52,+0.02_,0.00%,"17,991,594",156.29,22.9,1.60%,"31,941",75.00%,25.00%
9/20/2018,153.29,156.07,151.65,155.5,+2.60_,1.70%,"4,655,730",154.91,22.5,-4.50%,"25,969",57.60%,42.40%
9/19/2018,156.37,157.33,152.39,152.9,-3.10_,-2.00%,"5,546,201",153.38,23.6,6.70%,"62,034",58.60%,41.40%
9/18/2018,154.76,158.03,154.75,156,+1.08_,0.70%,"3,749,879",156.83,22.1,-4.10%,"17,478",67.00%,33.00%
9/17/2018,157,158.43,154.62,154.92,-2.57_,-1.60%,"3,899,581",155.9,23,3.90%,"29,769",63.60%,36.40%
9/14/2018,157.95,158.79,156.32,157.49,-0.69_,-0.40%,"4,615,261",157.65,22.2,-2.70%,"26,919",60.80%,39.20%
9/13/2018,155.87,158.78,155.82,158.18,+2.81_,1.80%,"6,213,541",157.73,22.8,-8.70%,"45,907",68.20%,31.80%
9/12/2018,152.84,155.77,151.81,155.37,+2.53_,1.70%,"5,180,848",154.18,24.9,4.20%,"37,240",74.90%,25.10%
9/11/2018,151.08,153.75,150.62,152.84,+1.52_,1.00%,"4,151,022",152.74,23.9,1.20%,"24,678",64.50%,35.50%
9/10/2018,150,151.58,148,151.32,+0.89_,0.60%,"3,872,325",150.2,23.6,-1.90%,"17,350",64.30%,35.70%
9/7/2018,147.84,151.41,147.5,150.43,+1.60_,1.10%,"3,866,773",150.29,24.1,-0.90%,"25,548",72.30%,27.70%
9/6/2018,148.75,149.16,147.08,148.83,+0.18_,0.10%,"4,190,347",148.32,24.3,-0.40%,"20,649",58.40%,41.60%
9/5/2018,152.39,152.78,147.08,148.65,-4.56_,-3.00%,"7,287,417",149.08,24.4,8.90%,"65,575",61.50%,38.50%
9/4/2018,152.11,153.34,151.51,153.21,+0.53_,0.30%,"5,310,894",152.48,22.4,-2.80%,"25,258",57.20%,42.80%
8/31/2018,152.14,153.87,151.9,152.68,+0.54_,0.40%,"6,210,529",152.93,23,-5.00%,"56,471",65.20%,34.80%
8/30/2018,151.12,153.74,149.5,152.14,-2.66_,-1.70%,"14,440,957",151.91,24.3,-17.80%,"159,107",68.20%,31.80%
8/29/2018,153.33,154.97,153.05,154.8,+1.81_,1.20%,"9,018,599",154.35,29.5,0.60%,"121,823",63.40%,36.60%
8/28/2018,152.03,153.4,151.56,152.99,+1.31_,0.90%,"5,266,932",152.57,29.3,-0.30%,"44,560",65.90%,34.10%
8/27/2018,154.71,154.88,150.2,151.68,-0.62_,-0.40%,"5,814,765",151.62,29.4,6.20%,"45,502",68.40%,31.60%
8/24/2018,148.5,152.38,148.5,152.3,+4.47_,3.00%,"4,881,956",151.36,27.7,-4.10%,"52,993",75.30%,24.70%
8/23/2018,146.83,148.34,146.07,147.83,+1.37_,0.90%,"6,196,336",147.56,28.9,1.20%,"23,248",68.00%,32.00%
