ExtractionDate ,ExpiryDate,StockPrice,Strike,Quantity,Underlying,Position,Type,OptionPrice
24-Nov-17,19-Jan-18,1156.16,550,1304,AMZN,Long,Put,0.05
24-Nov-17,19-Jan-18,1156.16,560,575,AMZN,Long,Put,0.09
24-Nov-17,19-Jan-18,1156.16,570,691,AMZN,Long,Put,0.09
24-Nov-17,19-Jan-18,1156.16,580,666,AMZN,Long,Put,0.16
24-Nov-17,19-Jan-18,1156.16,590,911,AMZN,Long,Put,0.1
24-Nov-17,19-Jan-18,1156.16,600,3506,AMZN,Long,Put,0.12
24-Nov-17,19-Jan-18,1156.16,610,1180,AMZN,Long,Put,0.12
24-Nov-17,19-Jan-18,1156.16,620,1716,AMZN,Long,Put,0.36
24-Nov-17,19-Jan-18,1156.16,630,964,AMZN,Long,Put,0.18
24-Nov-17,19-Jan-18,1156.16,640,1025,AMZN,Long,Put,0.17
24-Nov-17,19-Jan-18,1156.16,650,2450,AMZN,Long,Put,0.25
24-Nov-17,19-Jan-18,1156.16,660,1495,AMZN,Long,Put,0.19
24-Nov-17,19-Jan-18,1156.16,670,949,AMZN,Long,Put,0.2
24-Nov-17,19-Jan-18,1156.16,680,1816,AMZN,Long,Put,0.23
24-Nov-17,19-Jan-18,1156.16,690,1103,AMZN,Long,Put,0.45
24-Nov-17,19-Jan-18,1156.16,700,3299,AMZN,Long,Put,0.21
24-Nov-17,19-Jan-18,1156.16,710,1416,AMZN,Long,Put,0.17
24-Nov-17,19-Jan-18,1156.16,720,1190,AMZN,Long,Put,0.43
24-Nov-17,19-Jan-18,1156.16,730,1170,AMZN,Long,Put,0.36
24-Nov-17,19-Jan-18,1156.16,740,1539,AMZN,Long,Put,0.29
24-Nov-17,19-Jan-18,1156.16,750,3270,AMZN,Long,Put,0.3
24-Nov-17,19-Jan-18,1156.16,760,1284,AMZN,Long,Put,0.42
24-Nov-17,19-Jan-18,1156.16,770,1593,AMZN,Long,Put,0.37
24-Nov-17,19-Jan-18,1156.16,780,1751,AMZN,Long,Put,0.35
24-Nov-17,19-Jan-18,1156.16,790,1664,AMZN,Long,Put,0.64
24-Nov-17,19-Jan-18,1156.16,800,3397,AMZN,Long,Put,0.44
24-Nov-17,19-Jan-18,1156.16,810,844,AMZN,Long,Put,0.57
24-Nov-17,19-Jan-18,1156.16,820,3620,AMZN,Long,Put,0.42
24-Nov-17,19-Jan-18,1156.16,830,1121,AMZN,Long,Put,0.68
24-Nov-17,19-Jan-18,1156.16,840,1311,AMZN,Long,Put,0.6
24-Nov-17,19-Jan-18,1156.16,850,4593,AMZN,Long,Put,0.65
24-Nov-17,19-Jan-18,1156.16,860,1431,AMZN,Long,Put,0.66
24-Nov-17,19-Jan-18,1156.16,870,773,AMZN,Long,Put,1.42
24-Nov-17,19-Jan-18,1156.16,880,1368,AMZN,Long,Put,0.83
24-Nov-17,19-Jan-18,1156.16,890,492,AMZN,Long,Put,1.15
24-Nov-17,19-Jan-18,1156.16,900,4850,AMZN,Long,Put,0.91
24-Nov-17,19-Jan-18,1156.16,910,799,AMZN,Long,Put,1
24-Nov-17,19-Jan-18,1156.16,920,672,AMZN,Long,Put,1
24-Nov-17,19-Jan-18,1156.16,930,1133,AMZN,Long,Put,1.15
24-Nov-17,19-Jan-18,1156.16,940,820,AMZN,Long,Put,1.28
24-Nov-17,19-Jan-18,1156.16,950,1770,AMZN,Long,Put,1.5
24-Nov-17,19-Jan-18,1156.16,960,1640,AMZN,Long,Put,1.53
24-Nov-17,19-Jan-18,1156.16,970,816,AMZN,Long,Put,1.87
24-Nov-17,19-Jan-18,1156.16,980,952,AMZN,Long,Put,1.95
24-Nov-17,19-Jan-18,1156.16,990,561,AMZN,Long,Put,2.28
24-Nov-17,19-Jan-18,1156.16,1000,3218,AMZN,Long,Put,2.7
24-Nov-17,19-Jan-18,1156.16,1010,620,AMZN,Long,Put,3.18
24-Nov-17,19-Jan-18,1156.16,1020,1017,AMZN,Long,Put,3.68
24-Nov-17,19-Jan-18,1156.16,1030,947,AMZN,Long,Put,4.22
24-Nov-17,19-Jan-18,1156.16,1040,651,AMZN,Long,Put,5.09
24-Nov-17,19-Jan-18,1156.16,1050,2011,AMZN,Long,Put,5.95
24-Nov-17,19-Jan-18,1156.16,1060,841,AMZN,Long,Put,7.4
24-Nov-17,19-Jan-18,1156.16,1080,1569,AMZN,Long,Put,10.18
24-Nov-17,19-Jan-18,1156.16,1100,3553,AMZN,Long,Put,14.25
24-Nov-17,19-Jan-18,1156.16,1120,3260,AMZN,Long,Put,19.6
